timestamp,query_type,hit,latency_ms,zone,cache_key
1780533410853,q2,0,4,Z4,N/A
1780533410856,q2,1,0,Z3,N/A
1780533410861,q3,0,4,Z5,N/A
1780533410866,q3,0,3,Z5,N/A
1780533410869,q2,1,0,Z3,N/A
1780533410871,q4,1,1,Z5,N/A
1780533410877,q2,1,0,Z3,N/A
1780533410880,q2,1,1,Z5,N/A
1780533410882,q3,1,0,Z5,N/A
1780533411834,q4,1,2,Z3,N/A
1780533411848,q4,0,5,Z5,N/A
1780533411850,q5,1,0,Z1,N/A
1780533411853,q1,1,0,Z5,N/A
1780533411855,q2,1,1,Z5,N/A
1780533411856,q2,1,0,Z1,N/A
1780533411864,q2,0,6,Z3,N/A
1780533411872,q4,0,7,Z4,N/A
1780533411877,q2,0,3,Z5,N/A
1780533411882,q2,0,4,Z1,N/A
1780533412831,q1,1,0,Z2,N/A
1780533412839,q3,1,0,Z3,N/A
1780533412843,q4,1,1,Z4,N/A
1780533412849,q1,0,3,Z2,N/A
1780533412852,q5,1,1,Z1,N/A
1780533412857,q4,0,4,Z1,N/A
1780533412867,q3,0,5,Z4,N/A
1780533412872,q3,0,4,Z1,N/A
1780533412877,q1,0,3,Z5,N/A
1780533412883,q2,0,4,Z5,N/A
1780533413840,q4,0,9,Z1,N/A
1780533413853,q4,0,7,Z3,N/A
1780533413855,q3,1,0,Z3,N/A
1780533413858,q1,1,0,Z3,N/A
1780533413865,q2,0,5,Z3,N/A
1780533413870,q3,0,3,Z2,N/A
1780533413873,q5,1,1,Z3,N/A
1780533413875,q4,1,0,Z3,N/A
1780533413878,q5,1,1,Z4,N/A
1780533413880,q2,1,0,Z5,N/A
1780533414836,q1,0,5,Z5,N/A
1780533414849,q4,0,5,Z2,N/A
1780533414858,q4,0,6,Z4,N/A
1780533414860,q5,1,0,Z1,N/A
1780533414866,q1,0,4,Z5,N/A
1780533414873,q2,0,5,Z3,N/A
1780533414880,q2,0,5,Z3,N/A
1780533414882,q2,1,0,Z5,N/A
1780533414887,q2,0,3,Z5,N/A
1780533414896,q4,0,4,Z2,N/A
1780533415830,q2,1,0,Z1,N/A
1780533415849,q3,0,8,Z1,N/A
1780533415857,q3,0,6,Z3,N/A
1780533415859,q4,1,0,Z3,N/A
1780533415862,q3,1,1,Z2,N/A
1780533415864,q3,1,0,Z4,N/A
1780533415872,q4,0,6,Z5,N/A
1780533415883,q3,0,8,Z1,N/A
1780533415890,q5,1,1,Z1,N/A
1780533415892,q5,1,0,Z3,N/A
1780533416829,q1,1,0,Z1,N/A
1780533416837,q1,1,0,Z1,N/A
1780533416840,q2,1,0,Z3,N/A
1780533416842,q5,1,0,Z4,N/A
1780533416844,q4,1,0,Z1,N/A
1780533416846,q2,1,1,Z3,N/A
1780533416848,q4,1,0,Z4,N/A
1780533416853,q1,0,3,Z4,N/A
1780533416861,q1,0,4,Z2,N/A
1780533416863,q1,1,0,Z5,N/A
1780533417830,q2,1,0,Z2,N/A
1780533417837,q1,1,0,Z4,N/A
1780533417842,q1,1,0,Z4,N/A
1780533417851,q4,0,6,Z5,N/A
1780533417853,q2,1,0,Z4,N/A
1780533417855,q2,1,1,Z5,N/A
1780533417861,q1,1,0,Z1,N/A
1780533417863,q5,1,0,Z4,N/A
1780533417870,q4,0,5,Z2,N/A
1780533417876,q4,0,4,Z2,N/A
1780533418830,q3,1,1,Z3,N/A
1780533418840,q2,1,2,Z1,N/A
1780533418849,q4,0,6,Z2,N/A
1780533418851,q2,1,1,Z4,N/A
1780533418854,q1,1,1,Z1,N/A
1780533418856,q5,1,0,Z3,N/A
1780533418858,q3,1,0,Z4,N/A
1780533418863,q5,1,0,Z3,N/A
1780533418865,q1,1,0,Z5,N/A
1780533418867,q2,1,0,Z5,N/A
1780533419836,q2,0,5,Z2,N/A
1780533419843,q2,1,0,Z2,N/A
1780533419853,q4,0,7,Z3,N/A
1780533419855,q3,1,0,Z2,N/A
1780533419857,q1,1,0,Z5,N/A
1780533419859,q1,1,1,Z5,N/A
1780533419860,q2,1,1,Z3,N/A
1780533419862,q1,1,0,Z2,N/A
1780533419867,q2,0,3,Z2,N/A
1780533419873,q2,1,0,Z5,N/A
1780533420832,q1,1,0,Z4,N/A
1780533420854,q4,0,5,Z4,N/A
1780533420860,q2,0,4,Z2,N/A
1780533420867,q4,0,5,Z1,N/A
1780533420872,q2,0,4,Z5,N/A
1780533420881,q4,0,7,Z4,N/A
1780533420884,q5,1,1,Z5,N/A
1780533420886,q5,1,0,Z5,N/A
1780533420887,q5,1,1,Z4,N/A
1780533420893,q3,0,4,Z3,N/A
1780533421831,q2,1,0,Z1,N/A
1780533421845,q4,0,6,Z2,N/A
1780533421848,q1,1,0,Z1,N/A
1780533421849,q4,1,1,Z1,N/A
1780533421854,q1,0,3,Z5,N/A
1780533421856,q1,1,0,Z1,N/A
1780533421862,q1,0,4,Z2,N/A
1780533421868,q2,0,4,Z2,N/A
1780533421873,q5,1,0,Z4,N/A
